model,model_stage,horizon_h,feature,importance,is_neighbor_feature
lightgbm,rain_binary,3,pressure_msl,502.0,False
lightgbm,rain_binary,3,surface_pressure,315.0,False
lightgbm,rain_binary,3,dew_point_2m,470.0,False
lightgbm,rain_binary,3,precipitation,26.0,False
lightgbm,rain_binary,3,cloud_cover,58.0,False
lightgbm,rain_binary,3,wind_speed_10m,210.0,False
lightgbm,rain_binary,3,wind_direction_10m,1730.0,False
lightgbm,rain_binary,3,temperature_dew_point_spread,109.0,False
lightgbm,rain_binary,3,pressure_msl_change_3h,1237.0,False
lightgbm,rain_binary,3,pressure_msl_change_6h,1616.0,False
lightgbm,rain_binary,3,precipitation_lag_1h,84.0,False
lightgbm,rain_binary,3,precipitation_lag_2h,115.0,False
lightgbm,rain_binary,3,precipitation_lag_3h,187.0,False
lightgbm,rain_binary,3,precipitation_lag_6h,163.0,False
lightgbm,rain_binary,3,precipitation_sum_past_3h,156.0,False
lightgbm,rain_binary,3,precipitation_sum_past_6h,263.0,False
lightgbm,rain_binary,3,precipitation_sum_past_12h,502.0,False
lightgbm,rain_binary,3,precipitation_sum_past_24h,944.0,False
lightgbm,rain_binary,3,cloud_cover_lag_1h,361.0,False
lightgbm,rain_binary,3,cloud_cover_lag_3h,490.0,False
lightgbm,rain_binary,3,cloud_cover_lag_6h,651.0,False
lightgbm,rain_binary,3,humidity_lag_1h,317.0,False
lightgbm,rain_binary,3,humidity_lag_3h,570.0,False
lightgbm,rain_binary,3,humidity_lag_6h,1012.0,False
lightgbm,rain_binary,3,wind_speed_lag_1h,343.0,False
lightgbm,rain_binary,3,wind_speed_lag_3h,561.0,False
lightgbm,rain_binary,3,hour_sin,1112.0,False
lightgbm,rain_binary,3,hour_cos,1187.0,False
lightgbm,rain_binary,3,month_sin,1583.0,False
lightgbm,rain_binary,3,month_cos,1356.0,False
lightgbm,rain_binary,3,grid_row,291.0,False
lightgbm,rain_binary,3,grid_column,187.0,False
lightgbm,rain_binary,3,latitude,55.0,False
lightgbm,rain_binary,3,longitude,38.0,False
lightgbm,rain_binary,3,neighbor_count,20.0,True
lightgbm,rain_binary,3,neighbor_precipitation_mean,321.0,True
lightgbm,rain_binary,3,neighbor_precipitation_max,167.0,True
lightgbm,rain_binary,3,neighbor_precipitation_sum,79.0,True
lightgbm,rain_binary,3,neighbor_rain_count,29.0,True
lightgbm,rain_binary,3,neighbor_rain_rate,186.0,True
lightgbm,rain_binary,3,neighbor_cloud_cover_mean,434.0,True
lightgbm,rain_binary,3,neighbor_cloud_cover_max,292.0,True
lightgbm,rain_binary,3,neighbor_relative_humidity_mean,418.0,True
lightgbm,rain_binary,3,neighbor_relative_humidity_max,387.0,True
lightgbm,rain_binary,3,neighbor_pressure_msl_mean,1219.0,True
lightgbm,rain_binary,3,neighbor_pressure_msl_min,1054.0,True
lightgbm,rain_binary,3,neighbor_pressure_msl_max,957.0,True
lightgbm,rain_binary,3,neighbor_temperature_2m_mean,983.0,True
lightgbm,rain_binary,3,neighbor_dew_point_2m_mean,1816.0,True
lightgbm,rain_binary,3,neighbor_temperature_dew_point_spread_mean,442.0,True
lightgbm,rain_binary,3,neighbor_wind_speed_10m_mean,729.0,True
lightgbm,rain_binary,3,neighbor_wind_speed_10m_max,610.0,True
lightgbm,rain_binary,3,row_minus_precipitation_mean,112.0,True
lightgbm,rain_binary,3,row_plus_precipitation_mean,77.0,True
lightgbm,rain_binary,3,column_minus_precipitation_mean,75.0,True
lightgbm,rain_binary,3,column_plus_precipitation_mean,39.0,True
lightgbm,rain_binary,3,row_minus_cloud_cover_mean,306.0,True
lightgbm,rain_binary,3,row_plus_cloud_cover_mean,249.0,True
lightgbm,rain_binary,3,column_minus_cloud_cover_mean,211.0,True
lightgbm,rain_binary,3,column_plus_cloud_cover_mean,195.0,True
lightgbm,rain_binary,3,neighbor_precipitation_mean_minus_center,45.0,True
lightgbm,rain_binary,3,neighbor_cloud_cover_mean_minus_center,40.0,True
lightgbm,rain_binary,3,neighbor_relative_humidity_mean_minus_center,137.0,True
lightgbm,rain_binary,3,center_pressure_msl_minus_neighbor_mean,93.0,True
lightgbm,strong_if_rain,3,temperature_2m,395.0,False
lightgbm,strong_if_rain,3,relative_humidity_2m,69.0,False
lightgbm,strong_if_rain,3,pressure_msl,480.0,False
lightgbm,strong_if_rain,3,surface_pressure,402.0,False
lightgbm,strong_if_rain,3,dew_point_2m,378.0,False
lightgbm,strong_if_rain,3,precipitation,94.0,False
lightgbm,strong_if_rain,3,cloud_cover,79.0,False
lightgbm,strong_if_rain,3,wind_speed_10m,359.0,False
lightgbm,strong_if_rain,3,wind_direction_10m,1507.0,False
lightgbm,strong_if_rain,3,temperature_dew_point_spread,197.0,False
lightgbm,strong_if_rain,3,pressure_msl_change_3h,1534.0,False
