target,season,base_rate,threshold,precision,recall,f1,fired_share
h3_0.1mm,all,0.27466576450255975,0.85,0.9116007549488654,0.06164243293057547,0.11547635595340691,0.018572895946783186
h3_0.1mm,all,0.27466576450255975,0.9,0.9396963123644252,0.035357807477584165,0.06815129667953358,0.010334806143411484
h3_0.1mm,wet,0.4495393689062682,0.05,0.4512513674259233,0.9995175465441571,0.6217856686906604,0.9957254858800223
h3_0.1mm,wet,0.4495393689062682,0.1,0.4642211695092999,0.9937173038772696,0.6328176632803907,0.9622892685579625
h3_0.1mm,wet,0.4495393689062682,0.15,0.48289879599718294,0.9800699917550865,0.6470057638600035,0.9123651771956857
h3_0.1mm,wet,0.4495393689062682,0.2,0.5044320772301321,0.956825816300446,0.6606002078082198,0.8527032538747394
h3_0.1mm,wet,0.4495393689062682,0.25,0.5287713568461646,0.9221719766550134,0.6721394503598443,0.7839921793062371
h3_0.1mm,wet,0.4495393689062682,0.3,0.5520779875547455,0.8811508315121316,0.678836444427802,0.7174928137664928
h3_0.1mm,wet,0.4495393689062682,0.35,0.5776468568750807,0.8299351568153751,0.6811815298599809,0.6458764938949385
h3_0.1mm,wet,0.4495393689062682,0.4,0.607287582917729,0.7624006739946786,0.6760610820578639,0.5643604899586954
h3_0.1mm,wet,0.4495393689062682,0.45,0.6449297588041928,0.6699946354056029,0.6572233057884806,0.4670104944905543
h3_0.1mm,wet,0.4495393689062682,0.5,0.6683021584152559,0.6100623949133565,0.6378556323812159,0.41036387590475326
h3_0.1mm,wet,0.4495393689062682,0.55,0.7066817441874914,0.5118759158514763,0.5937074245791917,0.32561811319288886
h3_0.1mm,wet,0.4495393689062682,0.6,0.7419162808277426,0.42403878349721147,0.539645629244064,0.25693212570081964
h3_0.1mm,wet,0.4495393689062682,0.65,0.7730872925528728,0.34843580668738094,0.48036691282221833,0.20261051261799018
h3_0.1mm,wet,0.4495393689062682,0.7,0.8028102701458495,0.2762622098528517,0.41106810419875445,0.15469500589141666
h3_0.1mm,wet,0.4495393689062682,0.75,0.8370240026813531,0.19780951729451623,0.31999603943672633,0.10623729460967746
h3_0.1mm,wet,0.4495393689062682,0.8,0.8837321407051325,0.11880956409970225,0.20945927718490895,0.06043638564825005
h3_0.1mm,wet,0.4495393689062682,0.85,0.913138183192194,0.07395759450147077,0.13683272687910608,0.036409440509639915
h3_0.1mm,wet,0.4495393689062682,0.9,0.940058072471262,0.042545914087280874,0.08140742462993103,0.02034561898719426
h3_0.1mm,dry,0.09720251235151897,0.05,0.1879214677532145,0.9036329841162555,0.3111380039621703,0.4674048013245033
h3_0.1mm,dry,0.09720251235151897,0.1,0.2674852827495986,0.7601047651233525,0.395715856608753,0.2762174130137706
h3_0.1mm,dry,0.09720251235151897,0.15,0.31964013863246205,0.6669989861439676,0.43217351318209685,0.2028342794071271
h3_0.1mm,dry,0.09720251235151897,0.2,0.36326571568901866,0.5811422777965529,0.4470717463577601,0.1555018461578892
h3_0.1mm,dry,0.09720251235151897,0.25,0.4048275154706144,0.5002027712064887,0.4474896543905066,0.12010291837485546
h3_0.1mm,dry,0.09720251235151897,0.3,0.4404982931065461,0.4349864819195674,0.4377250370899383,0.09598624908020603
h3_0.1mm,dry,0.09720251235151897,0.35,0.4717663989002964,0.3711473470767151,0.4154513987402826,0.07647101335015243
h3_0.1mm,dry,0.09720251235151897,0.4,0.5050028528089732,0.30659851301115243,0.3815496874655004,0.059013816619362974
h3_0.1mm,dry,0.09720251235151897,0.45,0.5455576411700297,0.2357384251436296,0.32921936945440816,0.04200173446862188
h3_0.1mm,dry,0.09720251235151897,0.5,0.5668892639612534,0.19580094626563027,0.2910682550348214,0.03357330100914538
h3_0.1mm,dry,0.09720251235151897,0.55,0.5950041392218263,0.13966711726934775,0.22623047289298834,0.022816639072847682
h3_0.1mm,dry,0.09720251235151897,0.6,0.619608484650199,0.09600371747211896,0.16624847292225983,0.01506080495111952
h3_0.1mm,dry,0.09720251235151897,0.65,0.6436095214398275,0.06556269009800608,0.11900289072743585,0.009901746294544309
h3_0.1mm,dry,0.09720251235151897,0.7,0.6552043380505225,0.04185535653937141,0.07868425441348147,0.006209430516135814
h3_0.1mm,dry,0.09720251235151897,0.75,0.6651928273151559,0.022879351132139236,0.044237162156643334,0.0033432868180384738
h3_0.1mm,dry,0.09720251235151897,0.8,0.7088859416445623,0.00903176748901656,0.017836286581906766,0.0012384368758540944
h3_0.1mm,dry,0.09720251235151897,0.85,0.7913043478260869,0.003844204123014532,0.007651238071215369,0.00047221565226532113
h3_0.1mm,dry,0.09720251235151897,0.9,0.897196261682243,0.001622169651909429,0.0032384839846846696,0.000175746347103963
h6_0.1mm,all,0.37303086379495876,0.05,0.45908145207333106,0.9875674594806043,0.6267918908282029,0.802457038510451
