target,scheme,month,threshold,base_rate,rows
h1_1.0mm,global_f1,12,0.17155204713344574,0.002064132104454685,208320
h1_1.0mm,monthly_f1,1,0.014341250993311405,0.002222542242703533,208320
h1_1.0mm,monthly_f1,2,0.10036911070346832,0.011545930428909152,189504
h1_1.0mm,monthly_f1,3,0.07692012935876846,0.013608870967741936,208320
h1_1.0mm,monthly_f1,4,0.15108491480350494,0.013774801587301587,201600
h1_1.0mm,monthly_f1,5,0.13973383605480194,0.06942684331797234,208320
h1_1.0mm,monthly_f1,6,0.10803689062595367,0.05220468371038925,201208
h1_1.0mm,monthly_f1,7,0.1662292182445526,0.07336193297679966,207928
h1_1.0mm,monthly_f1,8,0.1875,0.0811491935483871,208320
h1_1.0mm,monthly_f1,9,0.2100403904914856,0.14041170634920636,201600
h1_1.0mm,monthly_f1,10,0.15467405319213867,0.0854502688172043,208320
h1_1.0mm,monthly_f1,11,0.12496280670166016,0.02662202380952381,201600
h1_1.0mm,monthly_f1,12,0.08025770634412766,0.002064132104454685,208320
h1_1.0mm,monthly_tss,1,0.0031037938315421343,0.002222542242703533,208320
h1_1.0mm,monthly_tss,2,0.00888028834015131,0.011545930428909152,189504
h1_1.0mm,monthly_tss,3,0.014341250993311405,0.013608870967741936,208320
h1_1.0mm,monthly_tss,4,0.026022305712103844,0.013774801587301587,201600
h1_1.0mm,monthly_tss,5,0.07119633257389069,0.06942684331797234,208320
h1_1.0mm,monthly_tss,6,0.05685892328619957,0.05220468371038925,201208
h1_1.0mm,monthly_tss,7,0.08760509639978409,0.07336193297679966,207928
h1_1.0mm,monthly_tss,8,0.08597797155380249,0.0811491935483871,208320
h1_1.0mm,monthly_tss,9,0.1373702436685562,0.14041170634920636,201600
h1_1.0mm,monthly_tss,10,0.09046292304992676,0.0854502688172043,208320
h1_1.0mm,monthly_tss,11,0.025136221200227737,0.02662202380952381,201600
h1_1.0mm,monthly_tss,12,0.0031037938315421343,0.002064132104454685,208320
h1_1.0mm,monthly_precision,1,0.09171091765165329,0.002222542242703533,208320
h1_1.0mm,monthly_precision,2,0.19906112551689148,0.011545930428909152,189504
h1_1.0mm,monthly_precision,3,0.1662292182445526,0.013608870967741936,208320
h1_1.0mm,monthly_precision,4,0.31153157353401184,0.013774801587301587,201600
h1_1.0mm,monthly_precision,5,0.37944984436035156,0.06942684331797234,208320
h1_1.0mm,monthly_precision,6,0.2887408435344696,0.05220468371038925,201208
h1_1.0mm,monthly_precision,7,0.4842364490032196,0.07336193297679966,207928
h1_1.0mm,monthly_precision,8,0.3991183936595917,0.0811491935483871,208320
h1_1.0mm,monthly_precision,9,0.37944984436035156,0.14041170634920636,201600
h1_1.0mm,monthly_precision,10,0.37944984436035156,0.0854502688172043,208320
h1_1.0mm,monthly_precision,11,0.3991183936595917,0.02662202380952381,201600
h1_1.0mm,monthly_precision,12,0.09105729311704636,0.002064132104454685,208320
h3_1.0mm,global_f1,1,0.19786730408668518,0.004637096774193548,208320
h3_1.0mm,global_f1,2,0.19786730408668518,0.02114467240797028,189504
h3_1.0mm,global_f1,3,0.19786730408668518,0.024956797235023042,208320
h3_1.0mm,global_f1,4,0.19786730408668518,0.024260912698412698,201600
h3_1.0mm,global_f1,5,0.19786730408668518,0.11923963133640553,208320
h3_1.0mm,global_f1,6,0.19786730408668518,0.09534412150610314,201208
h3_1.0mm,global_f1,7,0.19786730408668518,0.12404293794005618,207928
h3_1.0mm,global_f1,8,0.19786730408668518,0.135781490015361,208320
h3_1.0mm,global_f1,9,0.19786730408668518,0.21869047619047619,201600
h3_1.0mm,global_f1,10,0.19786730408668518,0.14404761904761904,208320
h3_1.0mm,global_f1,11,0.19786730408668518,0.048625992063492066,201600
h3_1.0mm,global_f1,12,0.19786730408668518,0.004809907834101382,208320
h3_1.0mm,monthly_f1,1,0.01145374495536089,0.004637096774193548,208320
h3_1.0mm,monthly_f1,2,0.12664908170700073,0.02114467240797028,189504
h3_1.0mm,monthly_f1,3,0.11603750288486481,0.024956797235023042,208320
h3_1.0mm,monthly_f1,4,0.20169880986213684,0.024260912698412698,201600
h3_1.0mm,monthly_f1,5,0.19492322206497192,0.11923963133640553,208320
h3_1.0mm,monthly_f1,6,0.15867042541503906,0.09534412150610314,201208
h3_1.0mm,monthly_f1,7,0.20509010553359985,0.12404293794005618,207928
h3_1.0mm,monthly_f1,8,0.21991084516048431,0.135781490015361,208320
h3_1.0mm,monthly_f1,9,0.25843432545661926,0.21869047619047619,201600
h3_1.0mm,monthly_f1,10,0.19786730408668518,0.14404761904761904,208320
h3_1.0mm,monthly_f1,11,0.16405856609344482,0.048625992063492066,201600
h3_1.0mm,monthly_f1,12,0.09261446446180344,0.004809907834101382,208320
h3_1.0mm,monthly_tss,1,0.003636363660916686,0.004637096774193548,208320
h3_1.0mm,monthly_tss,2,0.013865211978554726,0.02114467240797028,189504
h3_1.0mm,monthly_tss,3,0.028549129143357277,0.024956797235023042,208320
h3_1.0mm,monthly_tss,4,0.027910077944397926,0.024260912698412698,201600
h3_1.0mm,monthly_tss,5,0.13237746059894562,0.11923963133640553,208320
h3_1.0mm,monthly_tss,6,0.10342677682638168,0.09534412150610314,201208
h3_1.0mm,monthly_tss,7,0.13237746059894562,0.12404293794005618,207928
h3_1.0mm,monthly_tss,8,0.1387978196144104,0.135781490015361,208320
h3_1.0mm,monthly_tss,9,0.23407098650932312,0.21869047619047619,201600
h3_1.0mm,monthly_tss,10,0.121613048017025,0.14404761904761904,208320
h3_1.0mm,monthly_tss,11,0.044327668845653534,0.048625992063492066,201600
h3_1.0mm,monthly_tss,12,0.005394361447542906,0.004809907834101382,208320
h3_1.0mm,monthly_precision,1,0.02122923545539379,0.004637096774193548,208320
h3_1.0mm,monthly_precision,2,0.285669207572937,0.02114467240797028,189504
h3_1.0mm,monthly_precision,3,0.19786730408668518,0.024956797235023042,208320
h3_1.0mm,monthly_precision,4,0.3259523808956146,0.024260912698412698,201600
h3_1.0mm,monthly_precision,5,0.381472647190094,0.11923963133640553,208320
